post_id,word,lemma,pos,lemma_p,tag
9,being,be,AUX,be_AUX,VBG
9,elected,elect,VERB,elect_VERB,VBN
9,to,to,ADP,to_ADP,IN
9,the,the,DET,the_DET,DT
9,National,National,PROPN,National_PROPN,NNP
9,Baseball,Baseball,PROPN,Baseball_PROPN,NNP
9,Hall,Hall,PROPN,Hall_PROPN,NNP
9,of,of,ADP,of_ADP,IN
9,Fame,Fame,PROPN,Fame_PROPN,NNP
9,!,!,PUNCT,!_PUNCT,.
9,Not,not,PART,not_PART,RB
9,only,only,ADV,only_ADV,RB
9,a,a,DET,a_DET,DT
9,great,great,ADJ,great_ADJ,JJ
9,player,player,NOUN,player_NOUN,NN
9,but,but,CCONJ,but_CCONJ,CC
9,a,a,DET,a_DET,DT
9,great,great,ADJ,great_ADJ,JJ
9,person,person,NOUN,person_NOUN,NN
9,.,.,PUNCT,._PUNCT,.
9,I,I,PRON,I_PRON,PRP
9,am,be,AUX,be_AUX,VBP
9,thankful,thankful,ADJ,thankful_ADJ,JJ
9,for,for,ADP,for_ADP,IN
9,Mariano,Mariano,PROPN,Mariano_PROPN,NNP
9,’s,’s,PART,’s_PART,POS
9,support,support,NOUN,support_NOUN,NN
9,of,of,ADP,of_ADP,IN
9,the,the,DET,the_DET,DT
9,Opioid,Opioid,PROPN,Opioid_PROPN,NNP
9,Drug,Drug,PROPN,Drug_PROPN,NNP
9,Abuse,Abuse,PROPN,Abuse_PROPN,NNP
9,Commission,Commission,PROPN,Commission_PROPN,NNP
9,and,and,CCONJ,and_CCONJ,CC
9,@FitnessGov,@fitnessgov,NOUN,@fitnessgov_NOUN,NN
9,.,.,PUNCT,._PUNCT,.
9,#,#,SYM,#_SYM,$
9,EnterSandman,EnterSandman,PROPN,EnterSandman_PROPN,NNP
9,#,#,SYM,#_SYM,$
9,HOF2019,HOF2019,PROPN,HOF2019_PROPN,NNP
9,💯,💯,PROPN,💯_PROPN,NNP
9,https://t.co/reU1gKWHSQ,https://t.co/reU1gKWHSQ,PROPN,https://t.co/reU1gKWHSQ_PROPN,NNP
10,My,my,PRON,my_PRON,PRP$
10,recent,recent,ADJ,recent_ADJ,JJ
10,statement,statement,NOUN,statement_NOUN,NN
10,re,re,ADP,re_ADP,IN
10,:,:,PUNCT,:_PUNCT,:
10,@macys,@macys,PROPN,@macys_PROPN,NNP
10,--,--,PUNCT,--_PUNCT,:
10,We,we,PRON,we_PRON,PRP
10,must,must,AUX,must_AUX,MD
10,have,have,VERB,have_VERB,VB
10,strong,strong,ADJ,strong_ADJ,JJ
10,borders,border,NOUN,border_NOUN,NNS
10,&,&,CCONJ,&_CCONJ,CC
10,amp,amp,PROPN,amp_PROPN,NNP
10,",",",",PUNCT,",_PUNCT",","
10,stop,stop,VERB,stop_VERB,VB
10,illegal,illegal,ADJ,illegal_ADJ,JJ
10,immigration,immigration,NOUN,immigration_NOUN,NN
10,now,now,ADV,now_ADV,RB
10,!,!,PUNCT,!_PUNCT,.
10,...,...,PUNCT,..._PUNCT,NFP
10,https://t.co/HLCboRmTbl,https://t.co/hlcbormtbl,NOUN,https://t.co/hlcbormtbl_NOUN,NN
11,ICYMI-,ICYMI-,PROPN,ICYMI-_PROPN,NNP
11,This,this,DET,this_DET,DT
11,week,week,NOUN,week_NOUN,NN
11,we,we,PRON,we_PRON,PRP
11,hosted,host,VERB,host_VERB,VBD
11,a,a,DET,a_DET,DT
11,#,#,SYM,#_SYM,$
11,MadeInAmerica,MadeInAmerica,PROPN,MadeInAmerica_PROPN,NNP
11,event,event,NOUN,event_NOUN,NN
11,",",",",PUNCT,",_PUNCT",","
11,right,right,ADV,right_ADV,RB
11,here,here,ADV,here_ADV,RB
11,at,at,ADP,at_ADP,IN
11,the,the,DET,the_DET,DT
11,@WhiteHouse,@whitehouse,NOUN,@whitehouse_NOUN,NN
11,!,!,PUNCT,!_PUNCT,.
11,If,if,SCONJ,if_SCONJ,IN
11,it,it,PRON,it_PRON,PRP
11,is,be,AUX,be_AUX,VBZ
11,MADE,make,VERB,make_VERB,VBN
11,IN,in,ADP,in_ADP,IN
11,AMERICA,AMERICA,PROPN,AMERICA_PROPN,NNP
11,",",",",PUNCT,",_PUNCT",","
11,it,it,PRON,it_PRON,PRP
11,is,be,AUX,be_AUX,VBZ
